,ticker,name,website,headquarter,employees,industry,type,source
4020,IIT,Independent Investment Trust PLC (IIT),www.independentinvestmenttrust.co.uk,"17 Dublin Street Edinburgh, EH1 3PG United Kingdom",2,Capital Markets,ORD,investing
4021,BLP,Blue Planet Investment Trust PLC (BLP),www.blueplanet.eu/index.133.html,"18A Locker Street Sliema, 3124 Malta",-,Capital Markets,Closed-End,investing
4022,ASITA,Aberforth Split Level Income Trust PLC (ASITA),www.aberforth.co.uk,"14 Melville Street Edinburgh, EH3 7NS United Kingdom",-,Capital Markets,ORD,investing
4023,GETB,GetBusy PLC (GETB),www.getbusy.com,"Unity Campus Suite 8, The Works 20 West Street Pampisford Cambridge, CB22 3FT United Kingdom",136,Software,ORD,investing
4024,AFHP,AFH Financial Group PLC (AFHP),www.afhwm.co.uk,"AFH House Buntsford Drive Stoke Health Bromsgrove, B60 4JE United Kingdom",-,Capital Markets,ORD,investing
4025,MASTM,Mast Energy Developments PLC (MASTM),www.med.energy,"55 Ludgate Hill London, EC4M 7JW United Kingdom",-,Electric Utilities,ORD,investing
4026,GPH,Global Ports Holding PLC (GPH),www.globalportsholding.com,"Büyükdere Cad. No:193 Levent 193 Plaza Giris kat Sisli Istanbul, 34394 Turkey",495,Transportation Infrastructure,ORD,investing
4027,XPS,XPS Pensions Group PLC (XPS),www.xpsgroup.com,"Phoenix House 1 Station Hill Reading, RG1 1NB United Kingdom",1325,Capital Markets,ORD,investing
4028,CLXC,Calnex Solutions Plc (CLXC),www.calnexsol.com,"Oracle Campus Linlithgow, EH49 7LR United Kingdom",113,Communications Equipment,ORD,investing
4029,CATC,CATCo Reinsurance Opportunities Fund Ltd (CATC),www.catcoreoppsfund.com/pages/fund_overview_and_investment_objective,"Hamilton, Bermuda",-,Capital Markets,Closed-End,investing
4030,RESIR,Residential Secure Income PLC (RESIR),www.resi-reit.com,"The Pavilions Bridgwater Road Bristol, BS13 8FD United Kingdom",-,Equity Real Estate Investment Trusts (REITs),ORD,investing
4031,TRU,Trufin PLC (TRU),trufin.com,"48 Warwick Street London, W1B 5AW United Kingdom",152,Diversified Financial Services,ORD,investing
4032,JAGIJ,JPMorgan Asian Investment Trust (JAGIJ),am.jpmorgan.co.uk/investment-trusts/trusts/asian-jpm-it.aspx?isin=GB0001320778,"20 Finsbury Street Finsbury Dials Hauptsitz London, EC2Y 9AQ United Kingdom",-,Capital Markets,ORD,investing
4033,MTPH,Midatech Pharma PLC (MTPH),www.midatechpharma.com,"Oddfellows House 19 Newport Road Cardiff, CF24 0AA United Kingdom",18,Biotechnology,ORD,investing
4034,GENL,Genel Energy Plc (GENL),www.genelenergy.com,"36 Broadway Fifth Floor Victoria London, SW1H 0BH United Kingdom",127,"Oil, Gas & Consumable Fuels",ORD,investing
4035,SKLS,Skillcast Group PLC (SKLS),www.skillcast.com,"80 Leadenhall Street London, EC3A 3DH United Kingdom",-,Diversified Consumer Services,ORD,investing
4036,SAAS,Microlise Group PLC (SAAS),www.microlise.com,"Farrington Way Eastwood Nottingham, NG16 3AG United Kingdom",613,Software,ORD,investing
4037,SURS,Sureserve Group PLC (SURS),www.sureservegroup.co.uk,"Yardley Business Park Unit 1 Luckyn Lane Basildon, SS14 3BZ United Kingdom",2299,Commercial Services & Supplies,ORD,investing
4038,IGAS,IGas Energy PLC (IGAS),www.igasplc.com,"Welton Gathering Centre Barfield Lane off Wragby Road Sudbrooke Lincoln, LN2 2QX United Kingdom",143,"Oil, Gas & Consumable Fuels",ORD,investing
4039,CHCH,Churchill China (CHCH),www.churchill1795.com,"No.1 Marlborough Way Tunstall Stoke-On-Trent, ST6 5NZ United Kingdom",693,Household Durables,ORD,investing
4040,RCDO,Ricardo (RCDO),www.ricardo.com,"Shoreham By Sea, BN43 5FG United Kingdom",2784,Business Services,ORD,investing
4041,DNK,Danakali Ltd (DNK),www.danakali.com.au,"2A /300 Fitzgerald Street Level 1 Perth, 6006 Australia",6,Chemicals,ORD,investing
4042,MAVT,Momentum MultiAsset Value Trust PLC (MAVT),www.senecaim.com/sigt,"12 The Parks Haydock Saint Helens, WA12 0JQ United Kingdom",-,Capital Markets,ORD,investing
4043,VEN2,Ventus 2 VCT PLC (VEN2),www.ventusvct.com/ventus-2-vct-plc.aspx.html,"Berger House 36/38 Berkeley Square London, W1J 5AE United Kingdom",-,Capital Markets,ORD,investing
4044,MPAC,MPAC Group PLC (MPAC),www.mpac-group.com,"Station Estate Station Road Tadcaster North Yorkshire, LS24 9SG United Kingdom",476,Machinery,ORD,investing
