,name,title,company_ticker,source
0,Mr. R. Wade Rogers,Sr. VP of Global HR & Chief Compliance Officer,HUN,yahoo
1,Mr. Rafal Brzoska,CEO & Chairman of Management Board,INPOY,yahoo
2,Mr. David M. Stryker,"Exec. VP, Gen. Counsel & Sec.",HUN,yahoo
3,Mr. Jose Teodoro Katigbak Limcaoco,"Pres, CEO & Director",BPHLY,yahoo
4,Mr. Anthony P. Hankins,Division Pres of Polyurethanes & CEO of Asia-Pacific,HUN,yahoo
5,Mr. Adam Aleksandrowicz,CFO & Member of Management Board,INPOY,yahoo
6,Ms. Maria Theresa D. Marcial-Javier,"Exec. VP, CFO, Chief Sustainability Officer and Head of Strategy & Fin.",BPHLY,yahoo
7,Mr. Peter R. Huntsman,"Chairman, Pres & CEO",HUN,yahoo
8,Mr. Dariusz Lipinski,Chief Operating Officer,INPOY,yahoo
9,Mr. Ramon Locsin Jocson,"Exec. VP, COO & Head of Enterprise Services Group",BPHLY,yahoo
10,Mr. Philip M. Lister,"Exec. VP, CFO & VP of Corp. Devel.",HUN,yahoo
11,Mr. Michael Rouse,CEO of International Bus. & Member of Management of Board,INPOY,yahoo
12,Ms. Noravir Alvarez Gealogo,VP & Chief Compliance Officer,BPHLY,yahoo
13,Mr. Glenn Kelman,"Pres, CEO & Director",RDFN,yahoo
14,Mr. Damian Niewiadomski,Chief Commercial Officer,INPOY,yahoo
15,Ms. Twila M. Day,VP & Chief Information Officer,HUN,yahoo
16,Ms. Mary Catherine Elizabeth P Santamaria,Sr. VP & Chief Marketing Officer,BPHLY,yahoo
17,Mr. Chris Nielsen,Chief Financial Officer,RDFN,yahoo
18,Ms. Marie Josephine M. Ocampo,Exec. VP & Head of Mass Retail Products,BPHLY,yahoo
19,Mr. John Calder,Director of Investor Relations,HUN,yahoo
20,Ms. Bridget Jean Frey,Chief Technology Officer,RDFN,yahoo
21,Mr. Marcin Adam Pulchny,CFO of Polish market,INPOY,yahoo
22,Mr. Rinaldo Hechanova Fernandez,Sr. VP of Global Markets,BPHLY,yahoo
23,Mr. Ivan Mathew Marcuse,VP of Investor Relations,HUN,yahoo
24,Mr. Scott Nagel,Pres of Strategic Initiatives,RDFN,yahoo
25,Ms. Marita Socorro Domingo Gayares,Sr. VP & Chief Risk Officer,BPHLY,yahoo
26,Mr. Brian V. Ridd,Sr. VP of Purchasing,HUN,yahoo
27,Mr. Adam Wiener,Pres of Real Estate Operations,RDFN,yahoo
28,Ms. Pilar Bernadette C. Marquez,Sr. VP of Enterprise Services,BPHLY,yahoo
29,Mr. Ronald W. Gerrard,"Sr. VP of Environmental, Health & Safety and Manufacturing Excellence",HUN,yahoo
30,Mr. Eugenio P. Mercado,Sr. VP of Enterprise Services,BPHLY,yahoo
31,Ms. Meg Nunnally,Head of Investor Relations,RDFN,yahoo
32,Mr. Anthony Ray Kappus,"VP of Legal, Gen. Counsel & Corp. Sec.",RDFN,yahoo
33,Ms. Lisa Taylor,VP of Marketing,RDFN,yahoo
34,Ms. Ee Lyn Khoo,Chief HR Officer,RDFN,yahoo
35,Ms. Karen S. Krupsaw,Sr. VP of Real Estate Operations,RDFN,yahoo
36,Attorney Ray C. Espinosa,Sr. Advisor to Pres & CEO and Non-Exec. Director,PHI,yahoo
37,Attorney Maria Lourdes C. Rausa-Chan,Corp. Sec. & Chief Governance Officer,PHI,yahoo
38,Mr. Alfredo S. Panlilio,"Pres, CEO, Chief Revenue Officer & Director",PHI,yahoo
39,Ms. Anabelle Lim Chua,"Sr. VP, CFO & Chief Risk Management Officer",PHI,yahoo
40,Ms. Melissa V. Vergel de Dios,"First VP, Head of IR, Head of Corp. Sustainability Office & Chief Sustainability Officer",PHI,yahoo
41,Ms. Caren L. Mason,"CEO, Pres & Director",STAA,yahoo
42,Attorney Marilyn A. Victorio-Aquino,"Sr. VP, Head of Corp. Affairs & Legal Services and Chief Legal Counsel",PHI,yahoo
43,Mr. Patrick F. Williams,Chief Financial Officer,STAA,yahoo
44,Ms. Catherine Y. Yang,First VP & Group Corp. Communications Officer,PHI,yahoo
45,Dr. Keith Holliday,Chief Technology Officer,STAA,yahoo
46,Mr. Alejandro O. Caeg,Sr. VP & Head of Consumer Sales,PHI,yahoo
47,Mr. Hans-Martin Blickensdoerfer,Sr. VP of Commercial Operations and Director of Markets - Europe & China,STAA,yahoo
48,Ms. Mary Eleanor Nadal-Wei,VP & Head of Strategic Partnerships and Corp. Devel.,PHI,yahoo
49,Dr. Scott D. Barnes M.D.,Chief Medical Officer,STAA,yahoo
50,Ms. Gina Marina P. Ordo̱ez,Sr. VP & Chief People Officer,PHI,yahoo
51,Mr. Graydon C. Hansen,Chief Manufacturing Officer & Sr. VP of Global Operations,STAA,yahoo
52,Mr. Brian Moore,"VP of Investor, Media Relations & Corp. Devel.",STAA,yahoo
53,Mr. Samuel J. Gesten,Chief Legal Officer & Corp. Sec.,STAA,yahoo
54,Mr. Frank J. Del Rio,"Pres, CEO & Director",NCLH,yahoo
55,Mr. Roy M. Twite,CEO & Director,IMIAF,yahoo
56,Mr. William Goodmen,VP of Global HR,STAA,yahoo
57,Mr. Mark A. Kempa,Exec. VP & CFO,NCLH,yahoo
58,Mr. Daniel J. Shook,Fin. Director & Director,IMIAF,yahoo
59,Mr. Irwin C. Lee,"CEO, Pres & Director",UVRBF,yahoo
60,Mr. Antonio J. Pietri,"Pres, CEO & Director",AZPN,yahoo
61,Mr. James Francese,Sr. VP of Commercial Operations - North America & APAC,STAA,yahoo
62,Mr. T. Robin Lindsay,Exec. VP of Vessel Operations,NCLH,yahoo
63,Mr. John Dean,Head of Investor Relations,IMIAF,yahoo
64,Mr. Francisco M. Del Mundo,CFO & Sr. VP,UVRBF,yahoo
65,Ms. Chantelle Breithaupt,Sr. VP & CFO,AZPN,yahoo
66,Dr. Bobby L. Martin,Exec. Chairman,GPS,yahoo
67,Mr. Harry J. Sommer,Pres & CEO of Norwegian Cruise Line,NCLH,yahoo
68,Ms. Louise Waldek,Group Gen. Counsel & Company Sec.,IMIAF,yahoo
69,Ms. Karen Therese C. Salgado,Chief Information Officer,UVRBF,yahoo
